layer,mm_roc_auc_mean,mm_roc_auc_std,lda_roc_auc_mean,lda_roc_auc_std
1,0.568268501168844,0.02324579366419844,0.5765185381176521,0.009656411920181874
2,0.5891609186783651,0.022485202329592308,0.703682889197824,0.02537386275863493
3,0.6445626595297134,0.023704885435620448,0.5865966510297949,0.04447659420262532
4,0.6627102836583625,0.022486614405101954,0.6075676415746545,0.04742301974111414
5,0.6822911232950999,0.021720503513848032,0.5895955318300583,0.038169586685549255
6,0.7526617174455132,0.01897206287496063,0.6800071808132725,0.05548338857640901
7,0.8164618156698402,0.025190795666075898,0.6941789926293888,0.024517049045188227
8,0.8721284880427783,0.03398633125555505,0.6958111762415875,0.04382770281917123
9,0.8839107461005291,0.03749639123201512,0.6767592461821536,0.035973622984564906
10,0.8926952565527957,0.03424047630948082,0.6714419808524129,0.028646862052424428
11,0.8913234786749722,0.037818221871825486,0.7013465725422494,0.05649579969570596
12,0.8878519863770722,0.03785342141777078,0.6474295699803874,0.022604133433851196
13,0.8824799940053316,0.04340858061284906,0.6607614971031268,0.03595428724491142
14,0.8684582284738844,0.050047403058308196,0.6639893266303203,0.03847130310568219
15,0.8132026771818266,0.046326056764875376,0.6312226082921801,0.03343432101619435
16,0.747682189397192,0.04091050103876855,0.643461581492566,0.04044343140981277
17,0.6478364766595222,0.03708715987334821,0.6704310150666845,0.03744685034560724
18,0.6266826122152216,0.02983321692902716,0.6355310114505981,0.01874149989731543
19,0.5795260049612793,0.024818618684861866,0.6256357287141832,0.049526146579940714
20,0.5471421267856394,0.021402741737400952,0.6268808938147685,0.020640720696284993
21,0.5395354907415267,0.021172309059094112,0.6225756142552745,0.06019997281038329
22,0.5333790401778706,0.021551460056543716,0.6764439724654387,0.04539733768816334
23,0.5254252594377968,0.019502816695900673,0.6835633358860291,0.034810403689754306
24,0.5260713621099982,0.02092013271494505,0.6238960138921971,0.027006162279239795
25,0.520746585992576,0.019466513661370023,0.6532685446810664,0.03397359931248725
26,0.5214200531992461,0.019468247733256734,0.6313185815239974,0.047550429046386476
27,0.5159938668091756,0.01804198905983153,0.6319606282138016,0.062341277574533414
28,0.5125392316843441,0.009128478062055021,0.612954084886853,0.03681667255970583
29,0.517065048700086,0.009727734689304718,0.6262199475310478,0.07091248595851274
30,0.5131444054637384,0.010191203703644965,0.6688836906716158,0.03365061308277092
31,0.5105382069446738,0.016283413119916174,0.6296828543822114,0.043294570539621595
32,0.5232772849053628,0.018145591685666512,0.6632255683145962,0.035202711849290136
33,0.5467934311748145,0.021163973819266952,0.6402202317337464,0.04323591136645847
