layer,mm_roc_auc_mean,mm_roc_auc_std,lda_roc_auc_mean,lda_roc_auc_std
1,0.5268261539302883,0.013520397642710558,0.5207766366196969,0.021001086956737244
2,0.5261742097482535,0.02700368266032695,0.7012012823415832,0.00458945057268422
3,0.5458534095442223,0.018513712730241567,0.6183148453695749,0.013450417108511874
4,0.5918037583064198,0.01768669592583814,0.6727578419744906,0.030385569601996475
5,0.6462716683231416,0.02026033777087156,0.6866860430529719,0.013958255563310032
6,0.7307333786797102,0.007705040653503477,0.6859592402874958,0.027104612360854263
7,0.7538981736741905,0.007384071911955262,0.678115824178924,0.017037067677631103
8,0.7390606395455122,0.012125667942786507,0.6895287699248492,0.013474265391934604
9,0.7669327734011506,0.012959500609710092,0.6803840450737807,0.008003309833870511
10,0.7875125368649181,0.011563355696636421,0.6827429646014942,0.027886787606883987
11,0.7797027639020013,0.013139767530725077,0.6704898171571572,0.01401832472625277
12,0.7673573291077207,0.015555645041818424,0.6587333022410398,0.01072254749262879
13,0.7689065761864201,0.016383700086030677,0.6536348466410491,0.014927727353174977
14,0.7526694344927215,0.016094377002098925,0.664412750880353,0.019990706778537592
15,0.7547891319057914,0.017035936649020342,0.6623036182215345,0.0232412264272936
16,0.7464112122873048,0.017550221533882016,0.6765506506692761,0.020918212974464313
17,0.7480417197757023,0.017820351847695617,0.6640709737338159,0.004240868848462977
18,0.7554663534812314,0.017383030895812557,0.6632268805368847,0.03249153982764988
19,0.7540475766402961,0.0158371277752701,0.6694548443176983,0.013563905074884284
20,0.7513982359995947,0.01724111225089004,0.6670853343428962,0.031311620986028486
21,0.7389965504955935,0.017563121041839415,0.6730840669763251,0.016912467971413523
22,0.7319409561175595,0.018857057982249067,0.6597045661177918,0.016423620267966527
23,0.7289130045811244,0.018752919054315215,0.6621352691147644,0.015058642857081918
24,0.7214410689038749,0.01862649591660624,0.6639336375557534,0.01773165255184117
25,0.7226027130087997,0.017928697702772056,0.6569249068994598,0.014717698188722293
26,0.7148145799725057,0.019157356830075398,0.6536502047361735,0.014165535458595647
27,0.710896639553266,0.021672226423167434,0.6685294847075591,0.014274081529185544
28,0.7058906199875277,0.021724273302031763,0.650833839603521,0.015867741917216616
29,0.6971460689141372,0.019854761612359075,0.6565160979462489,0.018436263567773455
30,0.6884857494110721,0.01998443890714563,0.6593012536325762,0.017093385859056915
31,0.6815589327583875,0.02032370383135388,0.654725687505594,0.011667007936854039
32,0.6703915816793989,0.022720600925412556,0.6812918997098267,0.022094504847534936
33,0.6034909394263344,0.027009145697378778,0.666662297821693,0.011032162847508154
