layer,mm_roc_auc_mean,mm_roc_auc_std,lda_roc_auc_mean,lda_roc_auc_std
1,0.7174765978881068,0.01063111743964521,0.7493526998577866,0.005244351373166558
2,0.7712102505868415,0.009393420363735992,0.7578696570657507,0.017958285980135616
3,0.8233163533267159,0.004744474283959702,0.6430042396044513,0.015036867029026508
4,0.8223966851007191,0.00522956542902657,0.6575971934679241,0.013019676935982124
5,0.8296872142796111,0.005225140282581024,0.6506912092146634,0.006984918417100683
6,0.8476882416289049,0.0058373424485956,0.6571306299415876,0.016692214247058242
7,0.8631045532217175,0.0073881567883772314,0.6792419344785836,0.012348630472202773
8,0.8684028190755836,0.00817262705283705,0.6705661902501923,0.017427386431044984
9,0.871212141275308,0.007495430360390412,0.6609725460481264,0.01476131197719276
10,0.8723708266282759,0.008324813248660322,0.6750566766535185,0.013719947142121911
11,0.8727116395127352,0.008376635769967533,0.6529380843851091,0.01873409414318204
12,0.8678994608632156,0.008898305990190874,0.6562949560774575,0.008323965197779469
13,0.8577410578604718,0.009614349948488905,0.6438409383159164,0.02039779618142004
14,0.8585658826922845,0.00955716091873164,0.6546407874729461,0.006527558461427108
15,0.8584555791392052,0.010569415150924136,0.6330142813196263,0.004053498036055407
16,0.8586194443154769,0.009920815145154725,0.6495655550294617,0.009543640703463816
17,0.8592594184525708,0.009336206554203367,0.6594716523916848,0.015095922276418084
18,0.8627062105322569,0.006729855999251797,0.6416164366223155,0.013357447698806127
19,0.8603238770271421,0.007345799392620253,0.6332510978713136,0.02305683894173822
20,0.8594070685466478,0.006301507943841854,0.6422815212691534,0.022086174906277997
21,0.8550298408212574,0.0070752757918998935,0.6547121706843223,0.01568526955906446
22,0.8510564993380083,0.007512232497068027,0.6279554552357969,0.015613560835989318
23,0.8412323569154327,0.003786363886471052,0.6210030907741404,0.01874781861527431
24,0.8316223624405632,0.0021767503634067984,0.6376027691728258,0.010280068904148128
25,0.8284530158155279,0.0024973792102598647,0.6271359533407205,0.014534137643517926
26,0.8069083760895607,0.0054787683077316745,0.634238911061473,0.021258358316422827
27,0.8109891589951921,0.0031814977841496564,0.6393498233328678,0.010968440030733157
28,0.7961442188454878,0.008541206811512311,0.6387508484271137,0.02104521118873506
29,0.8097466031800457,0.004797851621953841,0.6212748000539768,0.022204084717023634
30,0.7936833925837984,0.010507451605721098,0.6189779243466205,0.010825713481186836
31,0.7813622585809693,0.01297711380411174,0.6274063055234397,0.01738315110934127
32,0.7724312624198524,0.01538780130071375,0.6389761770909034,0.015562590816043706
33,0.7798879848344289,0.018911243618689944,0.6350175338954481,0.016960258426378477
