layer,mm_roc_auc_mean,mm_roc_auc_std,lda_roc_auc_mean,lda_roc_auc_std
1,0.7229070288405477,0.18812338365610054,0.7296653521254861,0.1809973377993884
2,0.7282898692781715,0.18501953607063157,0.6544901675806416,0.09404312020111485
3,0.7621722231130404,0.17969281413948543,0.626955992587487,0.09995453981131393
4,0.7315425796966492,0.31390344449948915,0.6666881860069683,0.12515812064356074
5,0.7140972479962062,0.35524205604266273,0.6863789659525927,0.16658841695943616
6,0.7265243399137206,0.3579850297569858,0.6962487156005858,0.16347999265899155
7,0.7508148506729793,0.34041323942191776,0.7341468048546977,0.17063056683709127
8,0.7563017894000093,0.3449216579840939,0.6742095585728756,0.12473907534788707
9,0.7535706751427454,0.35459336752480736,0.7347484094701565,0.1703191395993677
10,0.7593763832683634,0.34087302436027256,0.7181838537507829,0.16565600004580566
11,0.764452076434224,0.3320228082724494,0.7006107579626207,0.12109715397643875
12,0.757665849649819,0.34042957294444726,0.7078455035533965,0.11540874073862978
13,0.7646752752529573,0.32200752131762544,0.6502109601718555,0.09155798330246977
14,0.7808958124578416,0.2945207983001421,0.673106952962464,0.12300100469662369
15,0.7962328190425403,0.26809241469345646,0.6465040466457108,0.0907983008866188
16,0.7710516575633969,0.30487887239867134,0.6480079577803266,0.0917020492602746
17,0.8194470161762302,0.2240335242650225,0.6485092629033306,0.09292874612750347
18,0.8334623451606399,0.20374817481210986,0.6715709131075446,0.12502395986365106
19,0.7834639333863889,0.1872171237887575,0.683394296124494,0.11519135325112878
20,0.7386981502160315,0.1629000236686218,0.6735068452111068,0.12405839954230043
21,0.6877597800001846,0.1665640060773727,0.6490111688214883,0.09342653035146033
22,0.6886438118199488,0.16505945601762864,0.7313384732276853,0.16940277620916586
23,0.6907077635190283,0.16510615983793717,0.6734087575714759,0.10025922351594396
24,0.6694279397158996,0.126202831956807,0.6507113593644173,0.09141413255877097
25,0.6687005308821685,0.12630686874594627,0.650510756953568,0.09088159543897703
26,0.6677640862057685,0.12590078015620296,0.6731072484241546,0.12576025270308558
27,0.6685661933325732,0.1254822210979973,0.6775678832537563,0.12389460917199518
28,0.6679476199407095,0.12549599648540025,0.6741082532547173,0.12461440801774003
29,0.6683492262655066,0.12543969521971302,0.6814935992394451,0.11945578072171321
30,0.6681565557847874,0.12490525486230548,0.6755123665997728,0.12478711942424987
31,0.6677557536782655,0.12530844222646284,0.6504962032506914,0.09235771798033221
32,0.669461071641999,0.1251649153397096,0.6511657809589168,0.09341791690844198
33,0.6525397315594151,0.12692766900892524,0.698031348439868,0.16742734720530056
