layer,mm_roc_auc_mean,mm_roc_auc_std,lda_roc_auc_mean,lda_roc_auc_std
1,0.6666808022071631,0.030679319896756693,0.6668222924740751,0.02827054080075803
2,0.7326465237209921,0.03240336426407113,0.6536336594705312,0.05504044758473134
3,0.7658394067533881,0.026234430327022277,0.5901038757131308,0.03729164922322876
4,0.7807219316933708,0.027324725861228374,0.6096897818482425,0.036081496505152945
5,0.7901956475897083,0.026161824213647756,0.6185062127911085,0.047522847395437134
6,0.8160047128858802,0.020832340008364363,0.6915612506322492,0.05506443839473842
7,0.8323557444239237,0.018153743227307242,0.6171016449470099,0.045467064702757125
8,0.8437379354225906,0.015260195478665833,0.6836167989667361,0.05235583477860187
9,0.8510876018676299,0.016016915622180907,0.6523705688667036,0.06776031602806912
10,0.8538103296891091,0.016719424284977316,0.6447994949190942,0.013791218756549354
11,0.8521760211497152,0.01617336386864262,0.66331501296175,0.04970975866165027
12,0.8471754057452534,0.015107171259195033,0.6481241725729971,0.021719100658325937
13,0.8364458986774193,0.016122006500435722,0.6503323203276276,0.036035816244938054
14,0.8228859567461473,0.016717845779652858,0.648317699988028,0.037284308871658185
15,0.7913058761051897,0.013865086974033113,0.6515881717641092,0.0579681982097354
16,0.7771663408873775,0.014350230780502198,0.6756564037745978,0.05573820567016749
17,0.7709268177602435,0.015934811122091982,0.6768975389380127,0.03174575289854848
18,0.7597816272015766,0.016351838735584368,0.6318246431760164,0.04791279537773333
19,0.7427260448041285,0.01904073742979361,0.6183358136756854,0.029860703709800023
20,0.7507813476036681,0.018893378077564388,0.6461426165081263,0.04328141640148787
21,0.7460323960332707,0.021694330626370387,0.6892332815152094,0.04433749816092923
22,0.727323998979698,0.015822802341275134,0.6774068479230972,0.0764507387097742
23,0.7067258894549797,0.019883235644133117,0.6725842771982503,0.04012701430494276
24,0.7063786783253645,0.021836968333440204,0.6780901808192022,0.04844866568027187
25,0.7027998043564609,0.020968274893308398,0.6681938787468951,0.015327746080287688
26,0.6910000558496179,0.02145423456878054,0.6409200055772744,0.035972613280898284
27,0.7021549524717198,0.017835828283715528,0.6110759449616479,0.05761522637706767
28,0.6874196551716059,0.011684193353436245,0.6463619931534333,0.04495899707825932
29,0.6971790295597762,0.01346647221158437,0.6331427761986145,0.029086273376655952
30,0.6894407516955834,0.00972405274246583,0.6358304350475354,0.04227839046057885
31,0.6908137696683482,0.009695584987453822,0.6537856525325243,0.057198667440899666
32,0.6945571616534265,0.00947953189454227,0.6617584162998911,0.011405140890197252
33,0.7060091565351504,0.02271336185409021,0.6492808777295848,0.04410037196788047
