layer,mm_roc_auc_mean,mm_roc_auc_std,lda_roc_auc_mean,lda_roc_auc_std
1,0.6671081316512095,0.022638562170198637,0.6637965405737349,0.030237286175855027
2,0.720920556023955,0.02335766571912181,0.7082085308688877,0.02845860556585893
3,0.7577642214926137,0.025967049083905187,0.6574680540953521,0.030589990128002762
4,0.7743614360665041,0.025641486956705244,0.6820453298144381,0.0410461279567251
5,0.7980691624874041,0.027824464057971284,0.6941720670670113,0.023354897025824193
6,0.8611671340049222,0.014238504220425824,0.6666272055551994,0.03596321670686801
7,0.8950924514604836,0.011521386018507508,0.7072700053690224,0.01836510345809657
8,0.917048653618048,0.011970104855655191,0.6808689094240185,0.013195688377824956
9,0.9176578741242276,0.013486131159432056,0.6965655666678443,0.022547476154518877
10,0.9080038488464723,0.012822788194622977,0.6686253858823766,0.03724967274685729
11,0.9170752770138716,0.009447318238295548,0.6593258781386315,0.03290352882937481
12,0.9129103689834874,0.009280377060625969,0.6941035176270874,0.025452630850996322
13,0.908990560727138,0.007364371875645917,0.6759304485737546,0.054308400951852784
14,0.9099267793929663,0.006043402002016716,0.6813490684562948,0.03777382757943866
15,0.9019324341076361,0.006109890067780281,0.6391955759748397,0.02803651773607881
16,0.8870287787404898,0.0052926826980906234,0.6215660856738581,0.03671199445643795
17,0.8477753216689333,0.008158132671215887,0.6751832172646033,0.03457225479302693
18,0.8151523740941652,0.011615380214895424,0.6659635142196709,0.026235158802423306
19,0.7865651660630038,0.011813190468674576,0.6853441432221228,0.035110928481981614
20,0.7762486781262318,0.0075655079202218865,0.6586789622519689,0.04530295143940789
21,0.7714643666458574,0.007575274353604902,0.6985786141892765,0.039823551401711225
22,0.7691721260819461,0.009020749091163622,0.6661716820689718,0.04675284011944468
23,0.7269814949443563,0.010212812719835158,0.6538717408733381,0.061821115055888665
24,0.7273802015803748,0.011593008096005997,0.6448533754706579,0.038495908207668454
25,0.7193948127650229,0.012399127151457695,0.6574821522333478,0.04549532382762839
26,0.7133341096475965,0.012085733102082705,0.6867050503161299,0.042201916596694596
27,0.7136365243084998,0.01307421638678198,0.6350931464085405,0.016178532395038667
28,0.6911763815729527,0.013815211974038009,0.6721250094244138,0.02798092388338201
29,0.7059041491677271,0.013263510476375341,0.6682757870130364,0.02860332041190675
30,0.6821418183163594,0.013561596016774764,0.6181232041670949,0.012688935628543705
31,0.6714319931526158,0.012606989353510295,0.6617325379094205,0.055528932864897414
32,0.6663304361534739,0.01266626964925873,0.6474254817173124,0.01930680883141106
33,0.6662795027436734,0.016536058144892507,0.6464319233650316,0.025421265278020327
