layer,mm_roc_auc_mean,mm_roc_auc_std,lda_roc_auc_mean,lda_roc_auc_std
1,0.5794966460686832,0.01972855375129883,0.5825180418755445,0.014471351285811507
2,0.5927034174075471,0.024849969702995963,0.5558577234776626,0.0218831282678937
3,0.6111446057626064,0.02093760586325446,0.5419927263782827,0.012768567946787681
4,0.6144876671450566,0.020093513211927167,0.5221156732886093,0.017309033507380674
5,0.621280520501364,0.020251135169316505,0.5155372637959227,0.024389275901808907
6,0.636415952752374,0.019897248467899902,0.5226040751736595,0.014262519631918298
7,0.6435474877037481,0.018657590868237133,0.520502601555711,0.0231143627333293
8,0.6503472789520258,0.018177629391910248,0.5373198503474482,0.01426596798915185
9,0.6535106173649707,0.018161049026945077,0.5349734613207151,0.015275536400909201
10,0.6568130952212067,0.018268111385060796,0.5158593353372553,0.00840090697874882
11,0.6680905775689797,0.01877033796649695,0.5217956827379997,0.011574908391831012
12,0.6670973336362795,0.018178090107613253,0.5260615251852229,0.009925464395171536
13,0.671840100693234,0.018836102823424083,0.5410390687188351,0.01801491002855126
14,0.6744672169651641,0.018614621638803747,0.532033762257524,0.02082594709982499
15,0.6657866725728108,0.018404706553975362,0.5305177707612163,0.002699594216299331
16,0.6512535599850746,0.02097930326167092,0.5163561432528905,0.02122013011408128
17,0.6285201664916036,0.023957876151374794,0.5355488903586989,0.015265829926149277
18,0.6068964638074744,0.024410485137254204,0.5241917156105381,0.01511480974761271
19,0.5782528116294436,0.020336507511259424,0.5308820972485203,0.011694162850653719
20,0.5655178433216931,0.014144502321480146,0.5303335976157741,0.007965194493741315
21,0.5611478380797681,0.01559896592939773,0.5433722473296184,0.005211570673875096
22,0.5468444220220923,0.010923640725997608,0.5284392615690663,0.01893382228849099
23,0.5409363555844164,0.0088193973287673,0.5339259232562711,0.010818686583603711
24,0.5364779479122449,0.007277897391620357,0.5362059921316965,0.01194439811140328
25,0.5370872217138218,0.008164982872783827,0.5290228586872879,0.022139956889818173
26,0.5328785994629184,0.007011911732364603,0.526355745768232,0.023141621559379755
27,0.5337755184724722,0.006775274951678486,0.5261068885966391,0.017764942311491592
28,0.5255996440047632,0.006527456819153676,0.508251302977742,0.016833990032467643
29,0.5321234503212712,0.007384842895544962,0.5165551703100091,0.007283526990870048
30,0.5257623125522757,0.006990511984849766,0.5304293666522515,0.010004127356224603
31,0.5294535833781383,0.00782553159275494,0.5384446501550999,0.023264608098825888
32,0.5268581459531123,0.006866273618890432,0.5211723352587744,0.019294585378307992
33,0.5483682390472943,0.009970137639132586,0.5353629244888636,0.009928732686760887
