layer,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
1,0.7278,0.0092,0.7315,0.0095,0.9882,0.0014,0.8407,0.0062,0.588,0.0177
2,0.7288,0.0076,0.7363,0.0092,0.9767,0.0051,0.8396,0.0052,0.6498,0.0149
3,0.7306,0.0083,0.7427,0.0101,0.9632,0.0079,0.8386,0.0056,0.6558,0.0141
4,0.7242,0.0051,0.7461,0.0092,0.9409,0.0083,0.8322,0.0035,0.6728,0.0153
5,0.7308,0.0113,0.7587,0.0126,0.9235,0.0058,0.8329,0.0075,0.6876,0.0127
6,0.7228,0.005,0.7693,0.0093,0.884,0.0129,0.8225,0.0031,0.6944,0.0184
7,0.7152,0.0145,0.7735,0.0102,0.8604,0.018,0.8145,0.0091,0.6954,0.0135
8,0.7112,0.0054,0.7791,0.0075,0.8413,0.0084,0.8089,0.003,0.7015,0.0161
9,0.7162,0.0061,0.7865,0.0073,0.837,0.0119,0.8108,0.004,0.7021,0.014
10,0.7094,0.01,0.7853,0.0056,0.8262,0.0115,0.8052,0.0055,0.6955,0.015
11,0.7132,0.0152,0.7931,0.0079,0.8195,0.0202,0.8059,0.01,0.696,0.0164
12,0.7072,0.0084,0.7925,0.0061,0.8091,0.0132,0.8006,0.0056,0.6881,0.0143
13,0.7104,0.0128,0.7961,0.0042,0.8089,0.0152,0.8024,0.0079,0.6934,0.0139
14,0.6956,0.0068,0.7875,0.0054,0.7962,0.0141,0.7917,0.0053,0.6791,0.0077
15,0.7046,0.0102,0.7909,0.0091,0.8072,0.0163,0.7988,0.0072,0.6904,0.0126
16,0.701,0.0118,0.7912,0.0128,0.8001,0.0119,0.7955,0.0078,0.6857,0.0156
17,0.7036,0.0102,0.7901,0.0096,0.8067,0.0165,0.7982,0.0075,0.68,0.0096
18,0.7,0.0082,0.7917,0.0089,0.7974,0.0224,0.7943,0.0074,0.6735,0.0116
19,0.6962,0.0069,0.7909,0.0114,0.7915,0.0126,0.7911,0.0054,0.6755,0.0102
20,0.6962,0.0083,0.7891,0.0068,0.7947,0.0184,0.7917,0.0061,0.677,0.008
21,0.6884,0.0096,0.7835,0.0139,0.7898,0.0078,0.7865,0.0058,0.6685,0.0085
22,0.7038,0.0104,0.7921,0.01,0.8036,0.0104,0.7977,0.0065,0.6734,0.0095
23,0.7016,0.0093,0.792,0.009,0.7995,0.0129,0.7957,0.0066,0.6741,0.0131
24,0.6956,0.007,0.7875,0.0086,0.7962,0.009,0.7917,0.0049,0.6779,0.0099
25,0.7006,0.0103,0.7895,0.0072,0.802,0.0155,0.7956,0.0071,0.6728,0.0154
26,0.6956,0.0065,0.7862,0.0045,0.7984,0.0109,0.7922,0.0049,0.6738,0.0148
27,0.695,0.0124,0.7878,0.0089,0.7947,0.0217,0.791,0.0097,0.671,0.0177
28,0.6902,0.0095,0.7853,0.0081,0.7899,0.0131,0.7875,0.0062,0.669,0.0162
29,0.699,0.0078,0.7896,0.008,0.799,0.0157,0.7941,0.0057,0.6722,0.0138
30,0.7018,0.0029,0.7926,0.0094,0.799,0.0105,0.7957,0.0023,0.6761,0.0149
31,0.6944,0.007,0.7887,0.0083,0.7918,0.0126,0.7901,0.0059,0.673,0.0156
32,0.688,0.0119,0.787,0.0113,0.7827,0.0151,0.7847,0.0097,0.6691,0.0119
33,0.699,0.0055,0.791,0.0099,0.7965,0.0144,0.7936,0.0056,0.671,0.0066
